individuo_id,potencial_hidrico_foliar_18,area_foliar_especifica_18,area_foliar_individual_18,comprimento_foliar_18,largura_foliar_18,ima_18,densidade_estomatica_abaxial_18,densidade_estomatica_adaxial_18,progenie
2600.0,-3.75,86.02,28.43,9.13,4.24,0.0816,293.6,190.18,183.0
3146.0,-2.22,65.15,44.15,13.39,3.49,7.9866,0.0,0.0,183.0
3824.0,-2.72,,,17.37,4.18,13.8233,270.62,74.14,183.0
557.0,-2.6,119.07,28.05,12.58,3.47,9.3371,311.4,115.98,186.0
1211.0,-2.42,84.61,29.33,13.63,3.61,28.0404,0.0,0.0,186.0
1871.0,,,,,,20.4614,348.47,81.56,186.0
2601.0,-2.31,91.73,31.91,13.11,3.86,20.118,443.0,96.39,186.0
3292.0,,114.48,36.03,12.78,4.84,13.7407,0.0,0.0,186.0
3797.0,-2.65,91.69,28.28,13.9,3.35,13.2486,0.0,0.0,186.0
617.0,-2.71,70.3,29.29,15.35,3.12,20.3659,271.36,64.5,188.0
1956.0,,126.49,34.29,11.05,4.7,3.2229,0.0,0.0,188.0
2549.0,-2.58,99.24,28.1,9.48,4.23,0.0497,308.06,0.0,188.0
3105.0,-2.28,78.7,61.94,16.71,5.94,22.687,526.6,0.0,188.0
3953.0,-2.0,92.61,48.21,13.09,5.45,2.5664,450.42,0.0,188.0
593.0,,71.85,30.74,11.81,4.36,11.6713,0.0,0.0,189.0
1222.0,,,,,,4.3577,0.0,0.0,189.0
1866.0,-2.09,91.1,31.79,12.89,4.41,20.2529,0.0,0.0,189.0
2545.0,-2.36,85.8,32.35,15.31,4.2,17.7391,0.0,0.0,189.0
3298.0,-2.83,94.24,29.26,15.31,3.3,16.2773,264.13,83.41,189.0
3838.0,-2.33,100.08,34.18,11.94,5.04,12.4653,274.33,88.97,189.0
485.0,-2.55,69.87,69.78,26.4,4.56,34.8694,299.72,118.44,199.0
1234.0,-2.99,,,,,15.5294,265.8,142.91,199.0
1841.0,,63.84,39.58,22.63,2.99,39.3954,203.89,88.97,199.0
2518.0,-2.62,97.37,60.09,21.07,4.4,23.8974,0.0,0.0,199.0
2843.0,,88.53,58.34,19.34,4.45,23.3702,0.0,0.0,199.0
3832.0,-2.68,,33.38,16.73,2.64,10.0142,250.79,98.86,199.0
657.0,,92.95,70.88,21.38,5.31,28.8705,418.72,91.75,202.0
1297.0,-3.2,,,,,7.7869,367.01,69.91,202.0
1788.0,-2.55,79.54,70.18,23.12,4.26,22.252,246.34,72.85,202.0
2588.0,-2.33,76.94,41.47,13.27,4.31,2.6105,0.0,0.0,202.0
3121.0,-2.44,69.59,37.79,18.47,3.49,13.6033,320.3,78.96,202.0
3957.0,-2.0,68.05,51.89,22.17,4.0,15.997,231.33,87.3,202.0
489.0,-2.28,,,8.96,3.72,16.2886,655.24,0.0,206.0
763.0,,79.23,15.57,,,3.7427,482.67,0.0,206.0
1893.0,-1.48,93.13,23.01,10.8,3.46,9.5011,447.64,0.0,206.0
