individuo_id,area_foliar_especifica_6,area_foliar_individual_6,comprimento_foliar_6,largura_foliar_6,potencial_hidrico_foliar_6,ima_6,densidade_estomatica_adaxial_6,densidade_estomatica_abaxial_6,progenie
2447.0,107.09,16.9,7.73,3.28,-1.76,0.05729577951,134.6,277.5,180.0
3478.0,108.67,25.84,10.6,4.07,,0.6729389304,371.5,402.0,180.0
3773.0,101.06,24.8,10.2,3.73,-2.32,0.9941454365,0.0,0.0,180.0
649.0,110.93,43.88,12.06,5.29,-2.04,0.7368595344,0.0,0.0,182.0
1242.0,106.36,19.48,9.54,3.31,-1.8,0.03463211562,152.0,489.3,182.0
1845.0,110.71,19.72,10.39,3.11,-2.3,2.154560042,120.9,378.1,182.0
2524.0,135.05,44.23,12.1,5.43,-2.05,1.17883679,173.8,533.8,182.0
3094.0,107.69,21.66,10.6,3.15,,0.7885689754,20.0,501.9,182.0
3778.0,110.63,20.49,10.18,3.27,-2.9,0.09947183943,20.7,519.9,182.0
474.0,102.37,53.05,13.39,6.07,-1.82,0.6147160733,0.0,336.4,185.0
1229.0,,,10.47,4.37,-2.6,0.4834132453,0.0,422.6,185.0
1976.0,107.64,28.52,12.21,5.41,-1.94,0.4209648245,0.0,621.1,185.0
2626.0,121.67,45.35,9.35,3.24,-2.08,0.8594366927,0.0,487.8,185.0
3213.0,97.23,18.07,14.48,6.57,,0.412545528,0.0,0.0,185.0
3833.0,105.9,63.59,9.12,4.57,-2.14,0.4973591972,0.0,0.0,185.0
557.0,180.86,19.18,8.65,3.3,-1.8,0.299211293,155.7,511.6,186.0
1211.0,,,,,-1.74,1.195890242,127.9,396.2,186.0
1871.0,,,,,-2.39,0.179049311,167.4,479.5,186.0
2601.0,134.55,26.78,10.38,4.05,-1.81,0.8310275354,51.2,615.8,186.0
3292.0,105.13,42.28,14.0,5.01,,0.2023814256,0.0,358.7,186.0
3797.0,118.76,23.89,9.31,4.06,-1.93,0.3706320737,0.0,0.0,186.0
485.0,109.33,63.89,16.94,6.17,-2.17,2.559466133,191.3,404.8,199.0
1234.0,,,,,-2.64,1.566323372,228.0,527.2,199.0
1841.0,116.94,34.6,14.72,3.86,-2.22,3.342253805,140.1,253.6,199.0
2518.0,103.68,47.59,13.75,5.73,-2.01,1.039918398,244.7,530.5,199.0
3518.0,81.95,40.84,15.18,4.39,,1.791352546,173.5,441.1,199.0
3832.0,81.42,57.19,17.64,4.98,-2.3,2.48162345,135.7,487.1,199.0
657.0,138.72,52.81,12.86,5.7,-1.55,3.876385752,0.0,0.0,202.0
1297.0,112.9,15.61,7.59,3.11,-2.4,0.6024969526,0.0,0.0,202.0
1788.0,97.35,65.73,15.67,6.0,-2.28,1.041887941,0.0,0.0,202.0
2588.0,98.8,30.15,10.23,4.57,-1.3,0.00662880338,0.0,0.0,202.0
3121.0,106.55,58.0,15.72,6.02,,0.3119436885,0.0,0.0,202.0
3957.0,105.81,41.74,11.95,5.28,-2.07,0.5811861057,0.0,0.0,202.0
630.0,132.75,40.36,11.23,5.44,-2.52,1.684495918,0.0,0.0,203.0
1163.0,99.81,32.6,13.15,4.12,-2.04,0.9176874019,62.3,470.4,203.0
1772.0,155.71,19.12,7.91,3.72,-2.64,0.09414014884,50.0,508.4,203.0
2477.0,86.96,28.76,13.22,3.64,-2.45,0.07577366841,0.0,0.0,203.0
3238.0,81.41,21.4,12.22,3.42,,0.08479775368,0.0,305.8,203.0
3791.0,92.58,42.86,14.71,4.99,-2.38,0.5470951169,0.0,416.5,203.0
494.0,133.03,28.94,11.62,4.15,-1.84,0.01193662073,0.0,0.0,204.0
1250.0,,,,,-1.93,0.02151774831,0.0,0.0,204.0
2198.0,129.62,29.03,10.05,4.27,-2.0,0.1670490283,0.0,522.7,204.0
2530.0,145.14,27.62,10.39,4.1,-2.07,0.0257353543,0.0,593.6,204.0
3100.0,158.46,31.57,11.5,4.04,-2.04,0.001038486004,0.0,808.2,204.0
3829.0,140.44,30.31,12.18,3.95,-1.83,0.3210473512,0.0,424.5,204.0
489.0,158.94,15.36,8.39,2.71,-1.9,0.8963606395,0.0,522.7,206.0
1506.0,122.27,24.64,9.35,4.16,-2.0,0.412545528,0.0,0.0,206.0
1893.0,104.6,18.31,9.02,2.87,-1.8,0.9031287034,0.0,430.0,206.0
2614.0,127.56,17.79,9.1,3.18,-2.43,0.1529479003,0.0,481.4,206.0
3088.0,117.52,26.0,9.73,4.19,,0.08708958486,0.0,550.5,206.0
4002.0,112.69,14.43,10.58,4.63,-1.85,0.1160239535,0.0,586.3,206.0
607.0,106.44,47.49,14.42,5.05,-1.94,1.827377268,129.0,463.8,207.0
1155.0,102.33,,,,-2.2,2.108126587,137.9,418.2,207.0
2193.0,121.23,34.49,11.29,5.11,-2.3,0.9778479704,167.9,481.0,207.0
2570.0,118.27,30.15,10.27,4.75,-2.27,0.6381317443,203.0,544.9,207.0
3271.0,101.48,44.71,13.39,5.25,,1.269208946,211.3,661.7,207.0
3926.0,103.42,44.74,12.99,5.59,-1.63,0.1405417725,218.0,506.0,207.0
463.0,154.38,30.97,10.15,4.64,-2.02,1.477156816,42.3,229.7,210.0
1315.0,,,,,-2.36,0.2642926985,70.6,497.7,210.0
1887.0,103.74,28.29,10.4,4.03,-2.8,0.1338493071,90.8,373.7,210.0
2542.0,115.93,32.42,10.78,4.25,-2.4,0.3466394661,144.6,370.7,210.0
3270.0,103.0,30.98,12.06,4.23,,0.2413107247,112.6,0.0,210.0
3955.0,100.04,37.3,12.12,4.54,-2.3,2.041062673,0.0,0.0,210.0
603.0,111.09,44.66,12.12,5.01,-1.56,1.868578504,0.0,541.2,214.0
1217.0,164.01,38.06,11.79,5.02,-2.0,1.965245237,0.0,608.3,214.0
2189.0,164.55,32.65,9.74,4.97,-2.27,0.429384121,0.0,631.7,214.0
2557.0,144.99,43.85,12.86,5.14,-1.9,0.3851549623,0.0,536.1,214.0
3184.0,140.39,29.31,9.37,4.73,,0.9167324722,0.0,663.9,214.0
3959.0,141.03,24.4,9.32,4.09,-1.9,0.3860303145,0.0,646.3,214.0
512.0,128.35,30.97,11.12,3.83,-1.73,0.6379129063,112.3,487.1,220.0
1186.0,108.48,30.07,10.56,4.48,-3.68,0.7763259814,114.6,591.7,220.0
1873.0,102.56,37.01,12.04,4.9,-2.7,0.4834132453,100.1,493.5,220.0
